episode,rewards_total
1,4.20405488479
2,7.02895018929
3,4.16537695956
4,-7.34307305881
5,1.95267767605
6,3.89283475855
7,2.88969968915
8,3.68856901608
9,1.75138117206
10,7.46773962755
11,4.37507038137
12,12.4993304064
13,15.7472102316
14,10.8877672826
15,12.6720778333
16,14.8984104471
17,8.43424012616
18,22.6250172388
19,20.1052314719
20,13.6959311398
21,20.2678099362
22,20.8267163794
23,16.5162981151
24,20.1495897655
25,19.6369887335
26,18.9379308956
27,20.6963089239
28,19.422064742
29,20.363933981
30,20.3355500268
31,21.190446982
32,21.2821392387
33,18.9840553399
34,21.2985835984
35,21.3524416839
36,21.152151573
37,21.0402158555
38,20.8322692879
39,20.5150889724
40,21.1485383247
41,20.9331670455
42,20.4829533834
43,20.9343879234
44,20.826260849
45,20.4126680712
46,20.796880078
47,20.9297730854
48,18.7299188516
49,20.5258295945
50,19.7355523532
51,14.4951450657
52,18.319656898
53,20.2291903042
54,20.8929179324
55,14.1908048742
56,13.7951841521
57,21.321430764
58,17.1932039354
59,15.4987351201
60,19.1792884163
61,19.0767474576
62,11.5997394655
63,16.7929869066
64,15.3752522042
65,13.7208407926
66,3.29976928431
67,2.17479389112
68,14.7903196716
69,16.1545915421
70,7.1293584237
71,10.2896214449
72,20.1151030388
73,17.1410122197
74,8.39189900999
75,10.239105198
76,10.9005131913
77,8.60047390603
78,9.592531895
79,11.7690704113
80,20.8334276371
81,10.8878716381
82,13.4004375391
83,12.6627759512
84,18.2731088217
85,15.8189651097
86,15.61998756
87,12.8645131232
88,20.2890353028
89,16.0736104347
90,20.9087376624
91,21.2812149543
92,18.697585373
93,16.5068371642
94,5.98668761824
95,13.2815826624
96,3.68594694828
97,18.091169056
98,17.8421429733
99,19.802180489
100,19.7589850582
101,13.3081160438
102,17.9433622341
103,21.9139136143
104,22.7746657981
105,19.6610410613
106,20.0515602657
107,21.437420534
108,19.3197959437
109,20.8977539583
110,21.8353020022
111,17.6478953376
112,-172.998842132
113,-173.418789762
114,-171.607259291
115,-171.120419656
116,-172.242715655
117,-171.235367797
118,-171.997700558
119,-171.258234351
120,-171.474755484
121,-171.153369951
122,-171.443830281
123,-171.647688508
124,-171.430597973
125,-171.427070579
126,-171.363122623
127,-171.12548431
128,-172.105831521
129,17.4306137515
130,1.2974409902
131,-7.51521668572
132,12.767892601
133,0.962874657305
134,15.6769430267
135,9.30124563095
136,15.2264118708
137,8.16940211551
138,-4.53060814064
139,3.68508332827
140,13.8206284535
141,8.48790501095
142,20.2797217279
143,20.2623316246
144,21.6108336294
145,-131.681711669
146,6.5688612336
147,4.43166004081
148,16.2325782217
149,8.88741179641
150,11.182014009
151,-3.51382028727
152,11.2941994865
153,13.0833096195
154,15.3122602056
155,21.5608929751
156,22.2898498578
157,23.9922217975
158,20.0998778453
159,21.4893791322
160,17.5583508307
161,-12.0854922425
162,12.8049914388
163,15.1882629788
164,20.8525399152
165,22.2007183569
166,2.1159794194
167,6.75454978332
168,21.4540398136
169,24.509320501
170,18.5288778424
171,17.9931805443
172,19.0229385834
173,14.2960172057
174,21.3670634017
175,23.3281672863
176,20.6612122092
177,20.5544109552
178,20.5877776306
179,20.3390240609
180,23.800661199
181,23.8047914731
182,23.804861135
183,23.8049880183
184,23.8050490391
185,23.8050268524
186,23.805118647
187,23.8050888637
188,23.8052444492
189,23.8051314412
190,23.8051600974
191,23.805256437
192,23.8053263634
193,23.8053433816
194,23.8053088575
195,23.8054398792
196,23.8055324422
197,23.8055627896
198,23.8052453928
199,23.801358691
200,23.7994497397
201,23.8033438487
202,23.8050955461
203,23.8055150711
204,23.8056124191
205,23.8056223128
206,23.8056443566
207,23.8056502652
208,23.8056392845
209,23.805639737
210,23.8056499442
211,23.8056424437
212,23.8056437482
213,23.8056553803
214,23.8056126797
215,23.8056392046
216,23.8056162969
217,23.8056339074
218,23.8056695736
219,23.8056488254
220,23.8056602207
221,23.805651674
222,23.8056489759
223,23.8056510235
224,23.8056325873
225,23.8056575016
226,23.8056419241
227,23.8056236461
228,23.8056296003
229,23.8056178463
230,23.8056436246
231,23.8056433762
232,23.8056504767
233,23.8056356047
234,23.8056319991
235,23.8056534866
236,23.8056345289
237,23.805636941
238,23.8056544721
239,23.8056547003
240,23.8056459162
241,23.8056440492
242,23.8056015074
243,23.8056173347
244,23.8056329799
245,23.8056501787
246,23.8056387173
247,23.8056222818
248,23.8056537067
249,23.8056467484
250,23.8056459464
251,23.8056343144
252,23.8056513884
253,23.8056470826
254,23.8056121495
255,23.8056256017
256,23.8056550368
257,23.8056276902
258,23.8056468792
259,23.8056487654
260,23.8056264341
261,23.8056107382
262,23.8056449006
263,23.805578031
264,23.8056574915
265,23.8056451515
266,23.8056262411
267,23.8056410433
268,23.8056086613
269,23.8056396211
270,23.8056404895
271,23.8056419603
272,23.8056531502
273,23.8056523576
274,23.8056517399
275,23.8056466529
276,23.8056404745
277,23.8056456693
278,23.8056579588
279,23.8056348173
280,23.8056434169
281,23.8056601785
282,23.8056385818
283,23.8056572628
284,23.8056335444
285,23.8056520173
286,23.8056125569
287,23.8056492344
288,23.8056441902
289,23.8056339275
290,23.80565988
291,23.8056693592
292,23.8056428342
293,23.8056261703
294,23.8056335735
295,23.8056506036
296,23.8056529323
297,23.8056365846
298,23.8056476578
299,23.8056482777
300,23.8056483135
301,23.8056336981
302,23.805667258
303,23.8056621348
304,23.8056513194
305,23.8056386031
306,23.8056470257
307,23.8056542954
308,23.8056585206
309,23.8056209741
310,23.8056440751
311,23.8056419318
312,23.8056213837
313,23.8056477683
314,23.8056429572
315,23.8055421089
316,23.8045683315
317,23.8031641061
318,23.8035754979
319,23.8038568681
320,23.8039425753
321,23.8056352395
322,23.8056065667
323,23.8056705612
324,23.8056343628
325,23.8056491255
326,23.8056188819
327,23.8056637263
328,23.8056380073
329,23.8056234566
330,23.805640238
331,23.805637189
332,23.8056558275
333,23.8056487475
334,23.8056581777
335,23.8056568164
336,23.8056469965
337,23.8056695396
338,23.8056281792
339,23.8056029104
340,23.8055714319
341,23.8055810746
342,23.8054835956
343,23.8051432822
344,23.8052521562
345,23.8053502784
346,23.8052370965
347,23.8049427948
348,23.8048720306
349,23.804974023
350,23.8049710403
351,23.8046915503
352,23.8044948361
353,23.8044436695
354,23.8045049104
355,23.8044539928
356,23.8044184124
357,23.8044546923
358,23.8047888924
359,23.8048517329
360,23.804816207
361,23.8047052575
362,23.8047435027
363,23.8048043509
364,23.8048974502
365,23.8048385133
366,23.8052989589
367,23.8053502964
368,23.8047303758
369,23.8044413656
370,23.8044036012
371,23.804293214
372,23.8043625382
373,23.8044368826
374,23.8046554975
375,23.8047490279
376,23.804808
377,23.8046825944
378,23.8055222525
379,23.8056697498
380,23.806951975
381,23.8056738275
382,23.8056627964
383,20.6898598677
384,23.8058009865
385,23.8075349782
386,20.7950887154
387,20.7499065963
388,21.8719767532
389,23.8071731321
390,23.8056352019
391,21.9903742929
392,23.8057683052
393,23.8071126734
394,23.8071975614
395,20.2205841604
396,23.8068579632
397,23.805640497
398,23.8070043262
399,23.8070542186
400,21.4046821441
401,23.8059644738
402,23.8070765216
403,23.8056808997
404,23.8071716933
405,23.8067809564
406,23.8056367677
407,23.8057478114
408,23.8068435987
409,23.8056549579
410,23.8056440319
411,23.8068309201
412,23.8056322432
413,23.8061330088
414,23.8062824668
415,23.8056480094
416,20.233294331
417,20.9239062098
418,23.8055648349
419,23.8054410782
420,23.8037997302
421,23.7963009783
422,23.7851716184
423,23.80332701
424,23.7931780007
425,23.7795706096
426,23.780678206
427,23.7904713585
428,23.7917529331
429,23.7922395375
430,23.7684375781
431,20.7382675698
432,23.7956188037
433,23.8020350666
434,23.8021700579
435,23.8016161401
436,23.8005353284
437,23.8026702665
438,23.8025067425
439,23.8028071619
440,23.8030800452
441,23.803026165
442,23.7991042566
443,23.8056260798
444,23.805585072
445,23.8056483009
446,23.8056913563
447,23.805645515
448,23.8056277226
449,23.8056444694
450,23.8056461091
451,20.834346217
452,23.8062349779
453,23.8056109427
454,23.805626768
455,23.805614632
456,23.805605655
457,23.8056898159
458,23.8056189509
459,23.8065738973
460,23.8056749324
461,23.8057607221
462,23.8056399536
463,23.8056540503
464,23.8066418244
465,23.778395594
466,23.8057995823
467,23.8056530941
468,23.8056360951
469,23.8057520583
470,23.8056283254
471,23.8056639217
472,23.7998665267
473,23.8056390732
474,23.8002275678
475,23.801610283
476,23.8056432879
477,23.8056611861
478,23.8056289755
479,23.800431206
480,23.8056457822
481,23.7998530267
482,23.8056266771
483,23.7971594096
484,20.8157124576
485,23.8057256361
486,23.7999479685
487,23.8056401354
488,23.7982757043
489,23.8056491367
490,23.8056757254
491,23.8056193941
492,23.8056453047
493,23.8056795639
494,23.7392120593
495,23.8056565597
496,23.7301450673
497,20.7092927818
498,23.8056470149
499,23.805625974
500,23.8056261244
501,23.8056198101
502,23.805644729
503,23.8056512681
504,23.8056420715
505,23.8056103122
506,23.8056365903
507,23.8056345256
508,23.806066782
509,23.8056559896
510,23.8056501434
511,23.8056507053
512,23.8056350776
513,23.8056204113
514,23.8056267478
515,23.8056253739
516,23.8056390175
517,23.8056440044
518,23.8056399995
519,23.7782730701
520,23.8056569331
521,23.8056422455
522,23.8055982636
523,23.8056459256
524,23.8056340589
525,23.8056241239
526,23.7968354136
527,23.8056403375
528,23.8065554308
529,23.805634278
530,23.8056738803
531,23.8056535139
532,23.8056327779
533,23.8038370268
534,23.8056610186
535,23.8045516417
536,23.8056415952
537,23.805715889
538,23.8061556772
539,23.8056466741
540,23.8025960847
541,23.8031171517
542,23.8056395507
543,23.8056452449
544,23.8056680157
545,23.8056468215
546,23.8049039143
547,23.8057148405
548,23.8051106687
549,23.8056440393
550,23.8056558344
551,23.8057391825
552,23.8054076184
553,20.5692875998
554,23.80552368
555,23.8053637999
556,23.8055017422
557,23.8050424576
558,23.8046660055
559,23.8054929054
560,23.8055308785
561,23.8058508495
562,23.8051993892
563,23.8052991265
564,23.8055369122
565,23.805486503
566,23.8055484122
567,23.8054881217
568,23.8055959299
569,23.8056623317
570,23.8055338416
571,23.8055287109
572,23.805652293
573,23.8055817704
574,23.8057963216
575,23.8056042046
576,23.8056033642
577,23.8055927769
578,23.8055723393
579,23.8055758944
580,23.8056374043
581,23.8056264007
582,23.8055984493
583,23.8056138947
584,23.8055932955
585,23.8055904393
586,23.8056215592
587,23.80560274
588,23.8056338062
589,23.8055888684
590,23.8055522815
591,23.805607761
592,23.8056177666
593,23.8056485617
594,23.8055757026
595,23.805609812
596,23.8056336108
597,23.8055889618
598,23.8055948228
599,23.8056018393
600,23.8056125381
601,23.8056122745
602,23.8056591495
603,23.8056122129
604,23.8056045564
605,23.8055864812
606,23.8056246058
607,23.8055956233
608,23.8055825169
609,23.8056100222
610,23.8056212876
611,23.8056023561
612,23.8057503256
613,23.8056209143
614,23.8055993259
615,23.8055800586
616,23.8056172158
617,23.8056240151
618,23.8056087404
619,23.8056088367
620,23.8056464207
621,23.8056056368
622,23.805661386
623,23.8055801841
624,23.8056040309
625,23.805567661
626,23.8055930941
627,23.8056369123
628,23.8056026985
629,23.8055602504
630,23.8056171879
631,23.8056224294
632,23.8055839835
633,23.8056302558
634,23.8056300919
635,23.8055930887
636,23.8055754118
637,23.8056098715
638,23.8056251571
639,23.8055318989
640,23.8055743853
641,23.8056052911
642,23.8056202985
643,23.8055797095
644,23.8055898441
645,23.805586667
646,23.8055167771
647,23.8055360725
648,23.805557035
649,23.8054824295
650,23.805449062
651,23.8055022178
652,23.8055457562
653,23.8054590898
654,23.8054816135
655,23.8054973062
656,23.8054922378
657,23.8055323358
658,23.8059643717
659,23.8055410051
660,23.8055344231
661,23.7196597876
662,20.4489124858
663,20.6294578495
664,20.7607265202
665,21.9727740306
666,20.5577110941
667,18.7542966365
668,20.6869432864
669,20.6290952423
670,20.8239966277
671,23.6799441289
672,20.6989689974
673,21.1026599941
674,23.7148417431
675,23.7241734673
676,23.7245446762
677,20.0658394785
678,18.5666751314
679,18.3656151166
680,20.5644964741
681,17.7984737868
682,15.2605204787
683,18.5545495883
684,18.8075595106
685,21.9636545145
686,20.1184967181
687,20.5627412203
688,20.8027003382
689,20.7279044474
690,20.4666590148
691,20.5919824212
692,20.4550126464
693,20.5793482105
694,20.38990529
695,20.2951012667
696,20.6554249379
697,20.1963619317
698,20.2558737966
699,20.3598611093
700,20.5473750496
701,20.4969241865
702,20.4120607786
703,20.7921800709
704,20.523598789
705,20.2659566408
706,20.4258003666
707,20.7192686424
708,20.651972173
709,20.3777924477
710,20.4268622676
711,16.9498516271
712,2.05364729814
713,20.5834942087
714,20.570732655
715,14.6031376681
716,20.5033809798
717,7.4364954569
718,8.17100009336
719,20.3125100903
720,11.0592507033
721,20.3130570766
722,12.2323121621
723,13.625502724
724,7.30508288178
725,19.8804300107
726,20.4007382149
727,13.6347196237
728,18.4957077221
729,20.5289016719
730,7.4398419458
731,13.8508841009
732,20.1992342089
733,20.3133063475
734,20.2802581668
735,19.7009192082
736,11.238235284
737,20.4479190936
738,20.3205821513
739,10.7214705605
740,19.9886348272
741,20.4703392367
742,20.4337557861
743,20.1719322009
744,4.67388436105
745,20.1615445175
746,20.2931014287
747,20.3549495741
748,18.4893205635
749,19.7113928369
750,16.9590145834
751,16.9416122718
752,20.5364599233
753,16.7540140548
754,22.516122147
755,20.3892799689
756,18.7912649005
757,16.3762893354
758,20.5183502778
759,19.3682947422
760,15.4825145327
761,20.4425497417
762,20.307558902
763,20.4738524114
764,21.8304453757
765,20.0817791684
766,14.6523794137
767,13.2950357673
768,17.7015536935
769,17.5097829001
770,20.2426248832
771,20.4296944728
772,17.4862224569
773,20.3499789125
774,16.5583393087
775,12.8918480442
776,13.8362273812
777,20.4561793902
778,20.5105934719
779,13.3960385226
780,18.0726065231
781,15.3556557771
782,16.9806736918
783,19.9553482453
784,6.92364011398
785,20.2687002361
786,20.3020058267
787,8.7666552034
788,11.3139746108
789,20.2241801861
790,11.4987785976
791,20.681584474
792,9.76292080354
793,20.6028813879
794,19.741316232
795,11.4269763489
796,15.721890397
797,20.0180910898
798,13.9800455461
799,17.2276980123
800,20.4503527911
801,3.62112150582
802,19.2184318423
803,18.4516247409
804,14.6343545229
805,20.9248397591
806,17.273970425
807,21.7449192393
808,22.0969008405
809,17.3438131298
810,18.000148278
811,19.7215321395
812,20.1728271166
813,18.3499707091
814,20.573830753
815,20.3079955592
816,20.3002552905
817,14.9543163224
818,20.4066645542
819,20.0166389424
820,18.5643136717
821,20.2319799454
822,20.2164038231
823,20.3961482981
824,20.601815039
825,20.3311646361
826,14.6876995233
827,18.2833497544
828,20.5521408783
829,20.5169272609
830,20.4434412191
831,14.7201193688
832,20.4187974071
833,14.8266932428
834,20.3244230303
835,20.5360381727
836,17.4286710799
837,18.993857888
838,18.1461095959
839,18.3134862976
840,20.3126591404
